nom_entreprise,type_etablissement,ville,site_web,score,telephone
PARIS'COM SUP,centre_formation_cpf,Paris,http://www.pariscomsup.fr/,100,+33 1 84 79 16 40
Formation Excel Paris | Formation Bureautique | Kronoscope,centre_formation_cpf,Paris,https://www.excel-formation.com/,100,+33 9 83 47 27 47
MBway Lyon,centre_formation_cpf,Lyon,https://www.mbway.com/mba-lyon,100,+33 4 72 91 36 38
CNFCE - Rouelle : Organisme de formation à Paris,centre_formation_cpf,Paris,https://www.cnfce.com/,100,+33 1 81 22 22 18
METOD,bilan_competences,Lyon,https://metod.org/,100,+33 4 78 62 39 94
"Clic Campus - Formations personnalisées éligibles CPF : anglais, espagnol, allemand, italien, français, portugais...",ecole_langues,Paris,https://elearning.clic-campus.fr/signup,95,+33 1 84 60 40 09
École Nationale Supérieure des Beaux-Arts,ecole_design,Paris,https://www.beauxartsparis.fr/fr,95,+33 1 47 03 50 00
SYPRO FORMATION,centre_formation_cpf,Paris,https://syproinfo.com/,95,+33 1 40 22 06 95
ASPLEF,ecole_langues,Paris,https://www.asplef.com/,95,+33 1 48 87 62 26
H3 Campus,centre_formation_cpf,Paris,https://www.h3campus.fr/,95,+33 1 42 80 00 49
ÉSTIAM - école d'informatique et du numérique,ecole_informatique,Paris,https://www.estiam.education/,95,+33 1 82 83 75 00
Alpadia Language Schools - French School in Lyon,ecole_langues,Lyon,https://www.alpadia.com/en/france/lyon-school?utm_campaign=GMB22&utm_medium=organic&utm_source=googlemybusiness,95,+33 4 72 41 98 06
Afpa - Centre de Paris Politzer,centre_formation_cpf,Paris,https://www.afpa.fr/centre/centre-de-paris-politzer?utm_source=gmb&utm_medium=organic&utm_campaign=GMB,95,+33 9 72 72 39 36
Joker Formation,centre_formation_cpf,Paris,https://jokerformation.fr/,95,+33 1 77 38 15 19
Pigier Lyon,centre_formation_cpf,Lyon,http://www.pigier.com/,95,+33 4 72 91 36 06
ORIENTACTION,bilan_competences,Lyon,https://cabinets-partenaires.orientaction-groupe.com/117-orientaction-brignais-est?utm_source=gmb,95,+33 2 43 72 25 88
Centre Ostéopathes,ecole_sante,Lyon,http://centre-osteopathe-lyon.fr/,93,+33 4 78 42 77 15
CERTyou,centre_formation_cpf,Paris,https://www.certyou.com/,93,+33 1 42 93 52 72
EffiSkill,centre_formation_cpf,Lyon,https://www.effiskill.com/,93,+33 4 72 18 51 18
Orgaly Lyon,centre_formation_cpf,Lyon,https://www.orgaly.fr/,93,+33 4 28 29 01 29
Centrale Lyon,ecole_ingenieur,Écully,https://www.ec-lyon.fr/,90,+33 4 72 18 60 00
Campus CESI,ecole_ingenieur,Villeurbanne,https://lyon.cesi.fr/?utm_source=google&utm_medium=organic&utm_campaign=gbp,90,+33 4 78 43 49 01
CFAI LYON,centre_formation_cpf,Lyon,https://www.iri-lyon.com/,90,+33 4 78 77 05 00
ESITC Paris,centre_formation_cpf,Arcueil,http://www.esitc-paris.fr/,90,+33 1 81 80 15 15
"ESGI, École Supérieure de Génie Informatique",ecole_informatique,Paris,http://www.esgi.fr/,90,+33 1 56 06 90 41
ESIEE Paris,ecole_ingenieur,Noisy-le-Grand,https://www.esiee.fr/,90,+33 1 45 92 65 00
Action Formalys - Proformalys,centre_formation_cpf,Paris,https://www.proformalys.fr/,90,+33 1 48 74 29 45
IA School - Lyon,centre_formation_cpf,Lyon,https://www.intelligence-artificielle-school.com/,90,+33 4 81 09 88 59
ETS Ecole Européenne,centre_formation_cpf,Paris,https://www.ecole-europeenne.com/#utm_source=google&utm_medium=organic&utm_campaign=gmb,90,+33 1 44 29 23 60
Pigier Paris,centre_formation_cpf,Paris,https://www.pigier.com/ecole-commerce-paris,90,+33 1 55 07 07 55
IRIS - École supérieure d'informatique,ecole_informatique,Paris,https://ecoleiris.fr/?utm_source=google&utm_medium=organic&utm_campaign=gmb,90,+33 1 44 01 86 70
Le CNAM IDF Centre de bilan de compétences,bilan_competences,Paris,https://cnam-idf.fr/accompagnement-professionnel/particuliers/bilan-de-competences-en-ile-de-france,90,+33 1 44 78 86 15
Conservatoire National Supérieur de Musique et de Danse de Paris,ecole_musique,Paris,https://www.conservatoiredeparis.fr/,90,+33 1 40 40 45 45
Lyon Formations,centre_formation_cpf,Lyon,http://www.lyonformation.com/,90,+33 4 78 38 20 31
Cabinet d’Orientation & Bilan de Compétences,bilan_competences,Lyon,https://www.cabinet-avenirs.com/,90,+33 6 09 55 52 44
CPE Lyon,centre_formation_cpf,Villeurbanne,https://www.cpe.fr/,88,+33 4 72 43 17 00
Collège des Ingénieurs,ecole_commerce,Paris,http://www.cdi.eu/,88,+33 1 49 54 72 50
CFA du Beaujolais-ARFA LIMAS,centre_formation_cpf,Limas,https://www.cfa-beaujolais.fr/,88,+33 4 74 68 25 32
L'Ecole Parisienne de Langues,ecole_langues,Paris,https://ecoleparisienne.com/,88,+33 6 28 91 64 68
Les ateliers FL Lyon,ecole_langues,Lyon,https://sejour.fl-france.fr/lyon/,88,+33 4 12 39 23 69
Ling'Home Lyon - French immersion program,ecole_langues,Lyon,http://www.linghomelyon.com/,88,+33 6 67 09 81 74
Coach Professionnel & Bilan de Compétences Paris 6 - Fanny Oyarbide,bilan_competences,Paris,https://calendar.app.google/oJQ6bBHz5cZfRLUU9,88,+33 6 60 42 02 33
"stiMA Paris Etoile : Bilan de Compétences, Coaching, Outplacement - Alix ROUXEL",bilan_competences,Paris,https://www.stima-coaching.fr/,88,+33 6 83 29 15 29
"ESAM PARIS - École de Management, de Finance et de Droit",ecole_commerce,Paris,https://www.esam-ecoles.com/,88,+33 1 89 71 56 11
Bilan de compétences et VAE Anne COUTURIER,centre_formation_cpf,Tassin-la-Demi-Lune,https://www.anne-couturier-conseil-formation-professionnelle.fr/,88,+33 6 15 74 51 70
Centre Bilan compétences Lyon 4,centre_formation_cpf,Lyon,https://www.bilan-competences-lyon.com/,88,+33 6 20 96 48 61
"E.L.A Formation (éligible CPF, FNE, DIF) à Paris La Défense",centre_formation_cpf,Paris,https://www.ela-formation.com/,85,+33 1 41 25 79 95
Groupe Alternance Lyon / CFA / Formations en alternance / BAC à BAC+5 - Lyon (69),centre_formation_cpf,Villeurbanne,https://www.groupe-alternance.com/ecoles/lyon/?utm_source=google&utm_medium=organic&utm_campaign=GMB_lyon,85,+33 4 37 91 66 12
Ingetis - Ecole Informatique Paris,ecole_informatique,Paris,http://www.ingetis.com/,85,+33 1 42 01 42 08
"Jedha Lyon - École IA & Formation Data Analyst, Data Scientist & Cybersécurité",ecole_informatique,Lyon,https://www.jedha.co/campus/lyon?utm_source=gmb&utm_medium=social&utm_campaign=lyon,85,+33 7 57 91 61 01
Atelier 440,ecole_musique,Paris,https://atelier440.com/,85,+33 6 62 02 49 18
IF2M Formation professionnelle,centre_formation_cpf,Lyon,http://www.if2m-formation.fr/,85,+33 4 78 62 02 02
INLINGUA LYON Part-Dieu,ecole_design,Lyon,https://inlingua-france.fr/centres/inlingua-lyon-part-dieu/,83,+33 4 78 62 72 57
Institut National des Langues,ecole_langues,Lyon,http://institut-langues.fr/,83,+33 9 67 05 68 31
Institut National des Langues,ecole_langues,Lyon,http://institut-langues.fr/,83,+33 9 67 05 68 31
American Business College Paris,ecole_commerce,Paris,https://www.american-business-college-paris.fr/,83,+33 1 89 71 24 57
École de Musique du 7ème,ecole_musique,Lyon,http://www.em7.fr/,83,+33 7 81 04 67 44
Wiplay Music,ecole_musique,Lyon,https://www.wiplaymusic.com/cours-de-musique-et-chant-a-lyon?utm_campaign=7288604-Permanent%20-%20GMB&utm_source=google_my_business&utm_medium=organic&utm_content=gmb_lyon_confluence,83,+33 9 74 04 20 43
École de musique Top Music,ecole_musique,Lyon,https://www.ecole-topmusic.org/,83,+33 4 78 29 31 42
The American Conservatory of Paris,ecole_musique,Paris,https://americanconservatoryofparis.com/,83,+33 6 37 86 04 98
Ecole Des Musiques Méditerranéennes PARIS,ecole_musique,Paris,http://emmparis.fr/,83,+33 1 48 56 19 79
EKP - École de Kinésithérapie de Paris,ecole_sante,Paris,https://www.ekp.fr/,80,+33 1 43 45 10 50
IGENSIA Alternance (Paris),bts_prepa,Nanterre,https://www.igensia-alternance.fr/,80,+33 1 89 71 24 52
CFA du CIFCA,bts_prepa,Paris,http://www.cifca.fr/,80,+33 1 55 26 39 70
CFA numiA,centre_formation_cpf,Paris,http://www.cfa-numia.fr/,80,+33 1 76 91 59 13
Polytech Lyon,ecole_informatique,Villeurbanne,http://polytech.univ-lyon1.fr/,80,+33 4 26 23 71 42
CFA Cerfal - Campus Montsouris,bts_prepa,Paris,http://www.campusmontsouris.fr/,80,+33 1 40 52 28 70
CFA INSTA,bts_prepa,Paris,http://cfa-insta.fr/,80,+33 1 43 41 72 50
ESGI Lyon,centre_formation_cpf,Lyon,https://www.esgi.fr/,80,+33 4 26 29 01 01
Lycée technologique public Duperré - HESAM Université,ecole_design,Paris,https://duperre.org/,80,+33 1 42 78 59 09
Itecom Art design,ecole_design,Paris,http://www.itecom-artdesign.com/,80,+33 1 58 62 51 51
ESAM DESIGN - Ecole Supérieure des Arts Modernes,ecole_design,Paris,http://www.esamdesign.com/,80,+33 1 53 06 88 00
École nationale supérieure de création industrielle (ENSCI - Les Ateliers),ecole_design,Paris,https://www.ensci.com/,80,+33 1 49 23 12 12
CFA des Métiers des Énergies,centre_formation_cpf,Lyon,https://cfametiersdesenergies.fr/,80,+33 7 75 82 88 38
ISEG Paris,centre_formation_cpf,Paris,https://www.iseg.fr/ecole-communication-paris/,80,+33 1 84 07 41 10
L'École Multimédia,ecole_communication,Bagnolet,https://www.ecole-multimedia.com/,80,+33 1 42 78 51 01
École de communication Paris - ESP Paris (rue Henri Bocquillon),ecole_communication,Paris,https://espub.org/,80,+33 1 47 27 77 49
ISEFAC Paris,centre_formation_cpf,Paris,https://www.isefac.org/,80,+33 1 47 70 85 03
CESACOM - École de Communication Paris,ecole_communication,Paris,https://www.cesacom.fr/,80,+33 1 83 64 75 22
Aprentiv' | Conseil et Formation Professionnelle,centre_formation_cpf,Paris,https://www.aprentiv.com/,80,+33 1 40 41 92 71
UFR Informatique - Université Paris Cité,ecole_design,Paris,http://www.informatique.univ-paris-diderot.fr/,80,+33 1 57 27 68 90
42 Lyon Auvergne-Rhône-Alpes,ecole_informatique,Charbonnières-les-Bains,https://www.42lyon.fr/,80,
École technique supérieure du laboratoire,bts_prepa,Paris,http://www.etsl.fr/,80,+33 1 45 83 76 34
BTS SIO,bts_prepa,Paris,https://bts-sio-alternance.fr/,80,+33 1 84 60 60 99
Paris BTS Bachelor,bts_prepa,Paris,https://paris-bts.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=pbts,80,+33 1 43 18 07 06
WebTech Institute,ecole_informatique,Lyon,https://webtech.institute/les-campus/une-ecole-dinformatique-a-lyon/,80,+33 4 78 79 11 07
ISITECH,ecole_informatique,Lyon,http://www.ecole-isitech.fr/,80,+33 4 27 18 14 40
ILCF - Institut de Langue et de Culture Françaises - UCLy,ecole_langues,Lyon,http://www.ilcf.net/,80,+33 4 72 32 50 53
Paris School of Tourism & Communication,centre_formation_cpf,Paris,https://ecole-pstc.fr/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=pstc,80,+33 1 42 61 58 51
Wiplay Music,ecole_musique,Lyon,https://www.wiplaymusic.com/cours-de-musique-et-chant-a-lyon?utm_campaign=7288604-Permanent%20-%20GMB&utm_source=google_my_business&utm_medium=organic&utm_content=gmb_lyon_bellecour,80,+33 9 74 04 20 43
umlg,ecole_musique,Lyon,http://www.umlg.fr/,80,+33 6 07 27 21 02
"Music'art - Cours de guitare, piano, chant , violon, violoncelle ,MAO, basse et batterie.",ecole_musique,Lyon,https://louishuybrechtsmus.wixsite.com/musicart,80,+33 6 32 09 10 47
École de Musique Le son de l'horizon,ecole_musique,Lyon,https://www.association-horizons.com/musique/,80,+33 9 50 75 67 57
Académie Nationale De Musique,centre_formation_cpf,Paris,http://www.operadeparis.fr/,80,
Mélodix (Cours de musique pour adultes Paris Xe),ecole_musique,Paris,https://www.melodix.fr/,80,+33 1 42 01 72 21
"École de musique Wiplay Paris Centre | Cours de piano, guitare, chant...",ecole_musique,Paris,https://www.wiplaymusic.com/cours-de-musique-et-chant-a-paris?utm_campaign=7288604-Permanent%20-%20GMB&utm_source=google_my_business&utm_medium=organic&utm_content=gmb_paris_centre,80,+33 9 74 04 20 43
Prépa COMMERCIA,bts_prepa,Paris,https://www.commercia-prepahec.com/,80,+33 1 42 67 81 18
CFA Cerfal,bts_prepa,Montrouge,https://www.cerfal-apprentissage.fr/,78,+33 1 40 52 28 70
I.T.I.I Institut des Techniques d'Ingénieurs de l'Industrie,ecole_informatique,Lyon,http://www.itii-lyon.fr/,78,+33 4 78 77 07 57
École publique Estienne ESAIG,ecole_design,Paris,http://www.ecole-estienne.paris/,78,+33 1 55 43 47 47
EPSI - Ecole d’ingénierie informatique - Paris,ecole_informatique,Courbevoie,https://www.epsi.fr/campus/paris,78,+33 1 55 90 06 30
H3 Hitema Paris - Informatique et alternance,ecole_informatique,Paris,https://www.h3hitema.fr/,78,+33 1 41 33 04 70
"Cours Diderot Paris - BTS, Bachelor, Master",bts_prepa,Paris,https://www.coursdiderot.fr/,78,+33 9 80 80 80 75
Les ateliers FL Paris,ecole_langues,Paris,https://sejour.fl-france.fr/paris/,78,+33 1 80 05 20 92
Académie Musicale Crescendo,ecole_musique,Lyon,https://www.amclyon.fr/,78,+33 4 37 65 77 60
Vos cours de chant à Paris: Les Cours De Chant Moderne,ecole_musique,Paris,https://www.coursdechantparis.fr/,78,
École Camondo - Architecture d'intérieur et Design,ecole_design,Paris,http://www.ecolecamondo.fr/,75,+33 1 43 35 44 28
CFA IGS Paris,bts_prepa,Paris,http://www.cfa-igs.com/,75,+33 1 89 71 24 58
Paris College of Art,ecole_design,Paris,http://www.paris.edu/,75,+33 1 45 77 39 66
